,njets,npv,pt_1,eta_1,phi_1,m_1,iso_1,q_1,mt_1,pt_2,eta_2,phi_2,m_2,iso_2,q_2,mt_2,dm_2,jpt_1,jeta_1,jphi_1,jm_1,jbtag_1,jpt_2,jeta_2,jphi_2,jm_2,jbtag_2,pt_met,phi_met,m_vis,pt_vis,mjj,ptjj,jdeta,gen_match,run,weight,sample_name
4600,2,12,29.633305,-1.2354296,-2.0168679,0.10565837,0.030204244,1,4.832092987792388,55.488613,-0.21627298,1.6465241,0.13957,0.0,-1,57.930409043945566,0,53.658657,-0.25199416,1.6701038,7.6219754,0.13880105,41.963993,4.097478,0.16071175,5.0450177,-10.0,17.362503,-2.2303019,89.44622,33.2586,418.9572,70.11838,-4.349472,True,1,0.47121727,GluGluToHToTauTauSkim
4601,1,17,29.152752,1.3728822,1.7700542,0.10565837,0.037825853,-1,0.6040679626769822,44.04131,1.8257167,-1.3278178,0.13957,0.025090106,1,53.355714627358196,0,39.00316,1.8239125,-1.3565152,4.3195925,0.5640906,-999.0,-999.0,-999.0,-999.0,-999.0,16.161032,1.797886,73.49233,14.970737,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
4602,1,20,36.551888,0.2960705,2.8290997,0.10565837,0.016289303,1,15.22170863183117,33.367363,0.742422,0.04704265,0.76690453,0.0,-1,49.805647477195414,1,37.3126,0.7537155,0.0938893,5.116596,0.46932265,-999.0,-999.0,-999.0,-999.0,-999.0,22.841248,2.2960062,70.50374,12.88829,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
4603,1,16,38.2561,1.7861187,2.7381895,0.10565837,0.0,1,30.110967619781757,22.776031,1.7962795,-0.38328832,0.5315564,0.0,-1,31.175238840877604,1,41.153824,1.8142709,-0.39826915,4.5130363,0.49297282,-999.0,-999.0,-999.0,-999.0,-999.0,16.434711,-2.2569156,59.040634,15.49145,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
4604,1,12,42.754803,0.28349072,2.2577808,0.10565837,0.043498054,-1,4.435096823655505,53.06012,0.6594617,-1.0752027,0.13957,0.0,1,57.99306929922009,0,69.16675,0.6603919,-1.0881257,8.569577,0.1561933,-999.0,-999.0,-999.0,-999.0,-999.0,16.368603,2.4256282,96.51933,13.749369,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
4605,2,29,27.897564,0.50594527,-2.4386578,0.10565837,0.25513628,1,35.952150831126204,27.645674,0.629516,0.49987033,0.7516387,0.041789792,-1,19.556186354901445,1,31.238813,0.64150155,0.53070617,6.5735054,-1.0,30.979002,-3.9147055,0.09809683,8.553755,-10.0,16.494001,-0.4514092,55.37336,5.6353216,302.329,60.767994,4.556207,True,1,0.47121727,GluGluToHToTauTauSkim
4606,1,22,45.17717,0.4724854,-0.7404916,0.10565837,0.019275097,1,62.314325761458264,44.832882,-0.3081649,1.9089592,0.8809242,0.055871043,-1,23.680891102259967,1,57.240963,-0.3042035,1.9372756,6.09931,0.23737624,-999.0,-999.0,-999.0,-999.0,-999.0,30.413433,1.2561189,94.45036,21.928555,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
4607,2,9,30.264122,-0.8423294,-1.3552057,0.10565837,0.037879817,-1,19.220861342118244,61.41462,-0.3231335,0.5672673,0.13957,0.0,1,56.068960339683265,0,77.579796,-0.28873125,3.0776203,11.674844,0.16630359,57.829895,-0.33164543,0.5455207,3.9857574,-10.0,34.22095,-0.7486929,74.23125,58.370876,128.89583,44.78535,0.042914182,True,1,0.47121727,GluGluToHToTauTauSkim
4608,1,16,21.21026,0.5696764,2.3391738,0.10565837,0.0,-1,1.9825679494552786,32.474106,-0.089515954,-0.9041883,0.97426623,0.15359996,1,60.38413732785333,1,38.509644,-0.10941444,-0.90541214,5.9995127,-1.0,-999.0,-999.0,-999.0,-999.0,-999.0,28.073345,2.2579043,55.31728,11.575915,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
4609,1,20,23.208288,1.4618673,-3.0991976,0.10565837,0.069337554,1,0.5949192804488281,36.109196,-0.4234553,0.038038544,0.91883713,0.0,-1,67.60077248497605,1,33.922016,-0.4245976,0.013669183,4.3394713,0.22984922,-999.0,-999.0,-999.0,-999.0,-999.0,31.641651,-3.1211522,85.595566,12.901524,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
